label,tf,day_idx,dow,time_utc,contact_capacity,contact_demand,contact_served
final,396,1,Tue,09:00,66,37,28
final,397,1,Tue,09:05,66,39,31
final,398,1,Tue,09:10,66,40,32
final,399,1,Tue,09:15,66,41,33
final,400,1,Tue,09:20,66,42,34
final,401,1,Tue,09:25,66,43,35
final,402,1,Tue,09:30,66,43,35
final,403,1,Tue,09:35,66,43,35
final,404,1,Tue,09:40,66,44,36
final,405,1,Tue,09:45,66,43,35
final,406,1,Tue,09:50,66,43,35
final,407,1,Tue,09:55,66,42,34
final,408,1,Tue,10:00,66,41,33
final,409,1,Tue,10:05,66,40,33
final,410,1,Tue,10:10,66,40,33
final,411,1,Tue,10:15,66,40,34
final,412,1,Tue,10:20,66,40,35
final,413,1,Tue,10:25,66,36,31
final,414,1,Tue,10:30,66,33,28
final,415,1,Tue,10:35,66,31,26
final,416,1,Tue,10:40,66,31,26
final,417,1,Tue,10:45,66,31,27
final,418,1,Tue,10:50,66,30,26
final,419,1,Tue,10:55,66,29,25
final,420,1,Tue,11:00,66,27,24
final,421,1,Tue,11:05,66,26,23
final,422,1,Tue,11:10,66,25,22
final,423,1,Tue,11:15,66,24,21
final,424,1,Tue,11:20,66,22,19
final,425,1,Tue,11:25,66,21,18
final,426,1,Tue,11:30,66,21,18
final,427,1,Tue,11:35,66,20,17
final,428,1,Tue,11:40,66,20,17
final,429,1,Tue,11:45,66,16,13
final,430,1,Tue,11:50,66,16,13
final,431,1,Tue,11:55,66,15,12
final,432,1,Tue,12:00,66,14,11
final,433,1,Tue,12:05,66,14,11
final,434,1,Tue,12:10,66,13,10
final,435,1,Tue,12:15,66,13,10
final,436,1,Tue,12:20,66,12,9
final,437,1,Tue,12:25,66,12,9
final,438,1,Tue,12:30,66,12,9
final,439,1,Tue,12:35,66,12,9
final,440,1,Tue,12:40,66,12,9
final,441,1,Tue,12:45,66,10,7
final,442,1,Tue,12:50,66,10,7
final,443,1,Tue,12:55,66,10,7
final,444,1,Tue,13:00,66,9,6
final,445,1,Tue,13:05,66,9,6
final,446,1,Tue,13:10,66,9,6
final,447,1,Tue,13:15,66,9,6
final,448,1,Tue,13:20,66,9,6
final,449,1,Tue,13:25,66,8,5
final,450,1,Tue,13:30,66,9,6
final,451,1,Tue,13:35,66,10,7
final,452,1,Tue,13:40,66,10,7
final,453,1,Tue,13:45,66,10,7
final,454,1,Tue,13:50,66,10,7
