origin,destination,pax,avg_revenue,inbound_ident,outbound_ident,inbound_arr,outbound_dep,cnx_time_min,indicator,revenue_captured
AMD,LHR,705.0,200.0,UAE539,UAE1,2026-07-12T01:25:00+00:00,2026-07-12T03:45:00+00:00,140.0,0.8833,124550.0
AKL,DUS,138.0,982.49,UAE449,UAE55,2026-07-10T02:35:00+00:00,2026-07-10T04:30:00+00:00,115.0,0.9167,124284.84
DEL,JFK,717.0,200.0,UAE515,UAE203,2026-07-06T20:05:00+00:00,2026-07-06T22:30:00+00:00,145.0,0.8542,122487.5
PEK,LGW,671.0,200.0,UAE307,UAE15,2026-07-08T01:45:00+00:00,2026-07-08T04:00:00+00:00,135.0,0.9125,122457.5
FRA,BKK,650.0,200.0,UAE48,UAE370,2026-07-11T02:50:00+00:00,2026-07-11T05:00:00+00:00,130.0,0.9417,122416.67
ADL,CDG,170.0,863.8,UAE441,UAE73,2026-07-10T01:35:00+00:00,2026-07-10T03:25:00+00:00,110.0,0.8333,122371.67
MNL,MAD,648.0,200.0,UAE337,UAE143,2026-07-07T08:20:00+00:00,2026-07-07T10:30:00+00:00,130.0,0.9417,122040.0
BOM,DFW,650.0,200.0,UAE509,UAE221,2026-07-08T19:59:00+00:00,2026-07-08T22:10:00+00:00,131.0,0.9358,121658.33
BRU,MRU,644.0,200.0,UAE184,UAE701,2026-07-12T20:10:00+00:00,2026-07-12T22:20:00+00:00,130.0,0.9417,121286.67
SGN,DME,762.0,200.0,UAE393,UAE133,2026-07-08T00:45:00+00:00,2026-07-08T03:20:00+00:00,155.0,0.7958,121285.0
LHR,LUN,708.0,200.0,UAE4,UAE713,2026-07-12T03:00:00+00:00,2026-07-12T05:25:00+00:00,145.0,0.8542,120950.0
HKG,VIE,725.0,200.0,UAE381,UAE127,2026-07-07T01:25:00+00:00,2026-07-07T03:55:00+00:00,150.0,0.825,119625.0
BRU,CMB,652.0,200.0,UAE184,UAE650,2026-07-09T20:35:00+00:00,2026-07-09T22:30:00+00:00,115.0,0.9167,119533.33
MNL,CDG,641.0,200.0,UAE337,UAE75,2026-07-12T08:25:00+00:00,2026-07-12T10:40:00+00:00,135.0,0.9125,116982.5
LHR,AMD,850.0,200.0,UAE8,UAE538,2026-07-11T15:10:00+00:00,2026-07-11T18:05:00+00:00,175.0,0.6792,115458.33
BKK,DME,665.0,200.0,UAE377,UAE133,2026-07-10T02:00:00+00:00,2026-07-10T04:30:00+00:00,150.0,0.825,109725.0
PEK,NBO,1010.0,200.0,UAE309,UAE721,2026-07-12T07:35:00+00:00,2026-07-12T10:55:00+00:00,200.0,0.5333,107733.33
MRU,VIE,646.0,200.0,UAE704,UAE127,2026-07-07T01:25:00+00:00,2026-07-07T03:55:00+00:00,150.0,0.825,106590.0
MXP,SYD,660.0,200.0,UAE206,UAE414,2026-07-06T19:40:00+00:00,2026-07-06T22:15:00+00:00,155.0,0.7958,105050.0
ICN,BCN,645.0,200.0,UAE323,UAE185,2026-07-12T01:25:00+00:00,2026-07-12T04:00:00+00:00,155.0,0.7958,102662.5
DEL,BHX,731.0,200.0,UAE513,UAE39,2026-07-10T02:20:00+00:00,2026-07-10T04:00:00+00:00,100.0,0.6667,97466.67
MNL,CAI,686.0,200.0,UAE337,UAE923,2026-07-12T08:25:00+00:00,2026-07-12T11:15:00+00:00,170.0,0.7083,97183.33
MUC,SGN,662.0,200.0,UAE52,UAE392,2026-07-12T02:45:00+00:00,2026-07-12T05:35:00+00:00,170.0,0.7083,93783.33
MXP,MEL,685.0,200.0,UAE92,UAE406,2026-07-11T03:10:00+00:00,2026-07-11T06:05:00+00:00,175.0,0.6792,93045.83
AMD,IAH,158.0,826.17,UAE539,UAE211,2026-07-09T02:10:00+00:00,2026-07-09T05:00:00+00:00,170.0,0.7083,92461.82
CPH,DPS,661.0,200.0,UAE152,UAE368,2026-07-09T20:10:00+00:00,2026-07-09T23:05:00+00:00,175.0,0.6792,89785.83
CDG,AKL,688.0,200.0,UAE76,UAE448,2026-07-12T03:15:00+00:00,2026-07-12T06:15:00+00:00,180.0,0.65,89440.0
DPS,BUD,728.0,200.0,UAE399,UAE111,2026-07-10T02:35:00+00:00,2026-07-10T05:45:00+00:00,190.0,0.5917,86146.67
ACC,PEK,299.0,545.14,UAE788,UAE308,2026-07-08T03:15:00+00:00,2026-07-08T06:40:00+00:00,205.0,0.5042,82177.11
HAM,SGN,745.0,200.0,UAE62,UAE392,2026-07-12T02:15:00+00:00,2026-07-12T05:35:00+00:00,200.0,0.5333,79466.67
IST,MEL,642.0,200.0,UAE122,UAE408,2026-07-09T21:10:00+00:00,2026-07-09T22:45:00+00:00,95.0,0.5833,74900.0
MXP,CGK,740.0,200.0,UAE92,UAE358,2026-07-08T02:20:00+00:00,2026-07-08T05:50:00+00:00,210.0,0.475,70300.0
COK,JFK,823.0,200.0,UAE533,UAE201,2026-07-10T02:50:00+00:00,2026-07-10T04:15:00+00:00,85.0,0.4167,68583.33
CAN,LOS,1288.0,200.0,UAE363,UAE783,2026-07-08T01:00:00+00:00,2026-07-08T05:15:00+00:00,255.0,0.2625,67620.0
ADL,ATH,251.0,822.61,UAE441,UAE209,2026-07-09T02:40:00+00:00,2026-07-09T06:50:00+00:00,250.0,0.275,56780.5
ICN,IST,834.0,200.0,UAE323,UAE123,2026-07-12T01:25:00+00:00,2026-07-12T05:25:00+00:00,240.0,0.3,50040.0
AKL,ATH,121.0,1347.33,UAE449,UAE209,2026-07-09T02:35:00+00:00,2026-07-09T06:50:00+00:00,255.0,0.2625,42794.67
ATH,BNE,895.0,200.0,UAE104,UAE434,2026-07-12T01:50:00+00:00,2026-07-12T06:35:00+00:00,285.0,0.1875,33562.5
ADD,PEK,184.0,763.77,UAE724,UAE306,2026-07-10T18:15:00+00:00,2026-07-10T22:50:00+00:00,275.0,0.2125,29863.45
IAD,BLR,648.0,200.0,UAE232,UAE566,2026-07-09T05:15:00+00:00,2026-07-09T09:45:00+00:00,270.0,0.225,29160.0
IAD,HYD,2405.0,200.0,UAE232,UAE528,2026-07-09T05:15:00+00:00,2026-07-09T11:00:00+00:00,345.0,0.0375,18037.5
JFK,KHI,819.0,200.0,UAE204,UAE608,2026-07-09T04:40:00+00:00,2026-07-09T10:00:00+00:00,320.0,0.1,16380.0
IAD,MAA,1045.0,200.0,UAE232,UAE546,2026-07-09T05:15:00+00:00,2026-07-09T10:50:00+00:00,335.0,0.0625,13062.5
